transaccion_id,comercio_id,fecha,tipo,categoria,monto,cliente_id,nombre_contrapartida
TX-COM-001-00002,COM-001,2025-01-01 07:13:14,Ingreso,Abarrotes,21.88,CL-0033,Fernando Martin Perez
TX-COM-002-00007,COM-002,2025-01-01 07:53:49,Ingreso,Platos Especiales,11.23,CL-0015,Juan Rodriguez Martinez
TX-COM-002-00005,COM-002,2025-01-01 08:21:36,Ingreso,Almuerzos,5.38,CL-0007,Diego Gomez Lopez
TX-COM-002-00011,COM-002,2025-01-01 08:35:46,Ingreso,Desayunos,1.93,CL-0015,Juan Rodriguez Martinez
TX-COM-002-00004,COM-002,2025-01-01 08:50:23,Ingreso,Almuerzos,4.31,CL-0038,Luis Martin Chavez
TX-COM-002-00010,COM-002,2025-01-01 11:26:57,Ingreso,Almuerzos,4.6,CL-0002,Marta Fernandez Noboa
TX-COM-002-00009,COM-002,2025-01-01 12:01:35,Ingreso,Platos Especiales,5.38,CL-0031,Marta Almeida Martinez
TX-COM-002-00012,COM-002,2025-01-01 12:38:58,Ingreso,Desayunos,2.05,CL-0024,Rosa Lopez Martinez
TX-COM-002-00001,COM-002,2025-01-01 12:49:39,Ingreso,Bebidas,1.84,CL-0037,Mateo Saltos Sanchez
TX-COM-002-00002,COM-002,2025-01-01 12:53:35,Ingreso,Bebidas,2.27,CL-0042,Ana Rodriguez Gonzalez
TX-COM-002-00003,COM-002,2025-01-01 13:43:48,Ingreso,Desayunos,3.0,CL-0030,Rosa Martin Cevallos
TX-COM-002-00006,COM-002,2025-01-01 14:36:39,Ingreso,Almuerzos,4.93,CL-0013,Rosa Chavez Gomez
TX-COM-003-00003,COM-003,2025-01-01 16:25:45,Ingreso,Manicure y Pedicure,20.58,CL-0023,Marta Cevallos Zambrano
TX-COM-003-00001,COM-003,2025-01-01 17:25:02,Ingreso,Corte y Peinado,17.42,CL-0004,Carlos Cevallos Garcia
TX-COM-002-00008,COM-002,2025-01-01 18:25:36,Ingreso,Almuerzos,3.35,CL-0036,Daniel Noboa Martinez
