transaccion_id,comercio_id,fecha,tipo,categoria,monto,cliente_id,nombre_contrapartida
TX-COM-001-01059,COM-001,2023-01-01 08:42:00,Ingreso,Bebidas,35.3,CL-0026,Andres Cevallos Gomez
TX-COM-001-00244,COM-001,2023-01-01 17:22:00,Ingreso,Limpieza,10.18,CL-0043,Maria Velasco Rodriguez
TX-COM-001-01698,COM-001,2023-01-01 18:22:00,Ingreso,Lácteos,16.9,CL-0046,Luis Fernandez Fernandez
TX-COM-001-01373,COM-001,2023-01-02 09:35:00,Ingreso,Abarrotes,21.46,CL-0037,Mateo Saltos Sanchez
TX-COM-001-01570,COM-001,2023-01-02 15:55:00,Ingreso,Otros,41.94,CL-0009,Fernando Gomez Gonzalez
TX-COM-001-01805,COM-001,2023-01-03 14:02:00,Ingreso,Bebidas,39.73,CL-0034,Valentina Rodriguez Rodriguez
TX-COM-001-01423,COM-001,2023-01-03 14:12:00,Ingreso,Snacks,40.58,CL-0048,Maria Fernandez Gonzalez
TX-COM-001-01357,COM-001,2023-01-03 15:21:00,Egreso,Servicios Básicos,228.81,,CNT
TX-COM-001-00672,COM-001,2023-01-03 16:47:00,Ingreso,Limpieza,42.1,CL-0031,Marta Almeida Martinez
TX-COM-001-01284,COM-001,2023-01-03 16:49:00,Ingreso,Limpieza,46.1,CL-0016,Carlos Martinez Mendoza
TX-COM-001-00718,COM-001,2023-01-03 17:38:00,Ingreso,Snacks,47.4,CL-0020,Patricia Mendoza Lopez
TX-COM-001-00966,COM-001,2023-01-04 09:43:00,Ingreso,Limpieza,36.5,CL-0040,Carlos Perez Rodriguez
TX-COM-001-01414,COM-001,2023-01-04 11:52:00,Ingreso,Abarrotes,43.63,CL-0037,Mateo Saltos Sanchez
TX-COM-001-00414,COM-001,2023-01-04 14:21:00,Egreso,Pago a Proveedor,245.14,,Tonicorp
TX-COM-001-01151,COM-001,2023-01-04 14:40:00,Egreso,Pago a Proveedor,68.97,,Tonicorp
TX-COM-001-00197,COM-001,2023-01-04 15:47:00,Ingreso,Bebidas,19.63,CL-0046,Luis Fernandez Fernandez
TX-COM-001-01912,COM-001,2023-01-04 15:51:00,Ingreso,Snacks,23.55,CL-0004,Carlos Cevallos Garcia
TX-COM-001-00764,COM-001,2023-01-04 17:33:00,Ingreso,Abarrotes,19.38,CL-0014,Fernando Martinez Almeida
TX-COM-001-01658,COM-001,2023-01-05 09:27:00,Ingreso,Abarrotes,26.93,CL-0010,Camila Fernandez Chavez
TX-COM-001-00700,COM-001,2023-01-05 09:42:00,Ingreso,Bebidas,45.32,CL-0040,Carlos Perez Rodriguez
TX-COM-001-01771,COM-001,2023-01-05 10:54:00,Ingreso,Limpieza,8.75,CL-0026,Andres Cevallos Gomez
TX-COM-001-00838,COM-001,2023-01-05 11:05:00,Ingreso,Limpieza,11.64,CL-0027,Rosa Noboa Gomez
TX-COM-001-01669,COM-001,2023-01-05 14:30:00,Ingreso,Limpieza,5.05,CL-0028,Rosa Martin Saltos
TX-COM-001-00447,COM-001,2023-01-05 15:08:00,Ingreso,Limpieza,48.23,CL-0033,Fernando Martin Perez
TX-COM-001-00143,COM-001,2023-01-05 17:55:00,Ingreso,Otros,48.71,CL-0039,Fernando Mendoza Cevallos
TX-COM-001-01406,COM-001,2023-01-05 18:11:00,Ingreso,Otros,35.46,CL-0049,Diego Fernandez Perez
TX-COM-001-01510,COM-001,2023-01-06 18:17:00,Ingreso,Lácteos,9.72,CL-0046,Luis Fernandez Fernandez
TX-COM-001-01344,COM-001,2023-01-06 19:51:00,Ingreso,Abarrotes,5.15,CL-0021,Carlos Noboa Noboa
TX-COM-001-01146,COM-001,2023-01-07 12:22:00,Ingreso,Limpieza,43.84,CL-0006,Juan Garcia Martinez
TX-COM-001-00409,COM-001,2023-01-07 12:26:00,Ingreso,Abarrotes,36.52,CL-0036,Daniel Noboa Martinez
TX-COM-001-00489,COM-001,2023-01-08 12:13:00,Ingreso,Abarrotes,47.49,CL-0026,Andres Cevallos Gomez
TX-COM-001-00927,COM-001,2023-01-08 12:26:00,Ingreso,Otros,49.42,CL-0049,Diego Fernandez Perez
TX-COM-001-01897,COM-001,2023-01-08 15:02:00,Ingreso,Snacks,7.05,CL-0032,Ana Velasco Zambrano
TX-COM-001-00129,COM-001,2023-01-08 19:09:00,Ingreso,Otros,48.53,CL-0005,Camila Saltos Perez
TX-COM-001-01069,COM-001,2023-01-09 08:21:00,Ingreso,Otros,3.1,CL-0008,Rosa Rodriguez Chavez
TX-COM-001-01991,COM-001,2023-01-09 15:00:00,Ingreso,Lácteos,24.53,CL-0036,Daniel Noboa Martinez
TX-COM-001-01108,COM-001,2023-01-09 15:42:00,Ingreso,Otros,23.5,CL-0037,Mateo Saltos Sanchez
TX-COM-001-00387,COM-001,2023-01-09 16:52:00,Ingreso,Limpieza,40.5,CL-0012,Maria Perez Martin
TX-COM-001-01882,COM-001,2023-01-09 17:43:00,Egreso,Pago a Proveedor,167.08,,Arca Continental (Coca-Cola)
TX-COM-001-01574,COM-001,2023-01-09 18:23:00,Egreso,Servicios Básicos,226.03,,CNT
TX-COM-001-00243,COM-001,2023-01-09 18:32:00,Ingreso,Otros,8.04,CL-0028,Rosa Martin Saltos
TX-COM-001-01383,COM-001,2023-01-10 12:50:00,Ingreso,Otros,42.11,CL-0038,Luis Martin Chavez
TX-COM-001-00907,COM-001,2023-01-10 12:55:00,Egreso,Pago a Proveedor,84.73,,Tonicorp
TX-COM-001-00536,COM-001,2023-01-10 14:50:00,Ingreso,Limpieza,27.68,CL-0032,Ana Velasco Zambrano
TX-COM-001-00731,COM-001,2023-01-10 16:40:00,Ingreso,Snacks,29.37,CL-0050,Camila Mendoza Lopez
TX-COM-001-00859,COM-001,2023-01-10 17:54:00,Ingreso,Snacks,12.7,CL-0047,Fernando Saltos Saltos
TX-COM-001-00633,COM-001,2023-01-11 08:44:00,Ingreso,Limpieza,19.63,CL-0036,Daniel Noboa Martinez
TX-COM-001-01707,COM-001,2023-01-11 12:10:00,Egreso,Pago a Proveedor,212.46,,Tonicorp
TX-COM-001-01526,COM-001,2023-01-11 17:48:00,Egreso,Pago a Proveedor,86.19,,Tesalia CBC (Pepsi)
TX-COM-001-01454,COM-001,2023-01-11 18:08:00,Ingreso,Abarrotes,17.58,CL-0014,Fernando Martinez Almeida
TX-COM-001-01243,COM-001,2023-01-11 18:57:00,Ingreso,Otros,33.45,CL-0004,Carlos Cevallos Garcia
TX-COM-001-00056,COM-001,2023-01-11 20:36:00,Ingreso,Abarrotes,47.19,CL-0020,Patricia Mendoza Lopez
TX-COM-001-00910,COM-001,2023-01-12 08:15:00,Egreso,Pago a Proveedor,113.4,,Tesalia CBC (Pepsi)
TX-COM-001-00837,COM-001,2023-01-12 10:06:00,Ingreso,Bebidas,36.04,CL-0047,Fernando Saltos Saltos
TX-COM-001-01923,COM-001,2023-01-12 10:09:00,Egreso,Pago a Proveedor,87.39,,Nestlé Ecuador
TX-COM-001-00818,COM-001,2023-01-12 10:46:00,Ingreso,Lácteos,47.08,CL-0045,Valentina Zambrano Perez
TX-COM-001-00354,COM-001,2023-01-12 12:29:00,Ingreso,Snacks,21.78,CL-0025,Mateo Rodriguez Chavez
TX-COM-001-00347,COM-001,2023-01-12 14:16:00,Egreso,Servicios Básicos,81.01,,Empresa Eléctrica
TX-COM-001-01259,COM-001,2023-01-12 16:41:00,Ingreso,Bebidas,45.44,CL-0030,Rosa Martin Cevallos
TX-COM-001-01779,COM-001,2023-01-12 20:43:00,Ingreso,Lácteos,32.15,CL-0006,Juan Garcia Martinez
TX-COM-001-00879,COM-001,2023-01-12 20:52:00,Egreso,Pago a Proveedor,277.35,,Tesalia CBC (Pepsi)
TX-COM-001-01531,COM-001,2023-01-13 11:54:00,Ingreso,Lácteos,12.87,CL-0035,Carmen Noboa Lopez
TX-COM-001-01136,COM-001,2023-01-13 14:59:00,Ingreso,Bebidas,47.44,CL-0021,Carlos Noboa Noboa
TX-COM-001-00708,COM-001,2023-01-13 15:45:00,Ingreso,Abarrotes,4.59,CL-0012,Maria Perez Martin
TX-COM-001-01426,COM-001,2023-01-13 17:51:00,Ingreso,Lácteos,42.18,CL-0016,Carlos Martinez Mendoza
TX-COM-001-01504,COM-001,2023-01-14 09:40:00,Ingreso,Otros,23.63,CL-0022,Valentina Saltos Chavez
TX-COM-001-00569,COM-001,2023-01-14 11:10:00,Ingreso,Abarrotes,24.2,CL-0008,Rosa Rodriguez Chavez
TX-COM-001-01571,COM-001,2023-01-14 17:07:00,Egreso,Pago a Proveedor,286.3,,Tesalia CBC (Pepsi)
TX-COM-001-01909,COM-001,2023-01-14 20:26:00,Ingreso,Bebidas,31.15,CL-0020,Patricia Mendoza Lopez
TX-COM-001-01287,COM-001,2023-01-15 09:29:00,Egreso,Pago a Proveedor,154.36,,Nestlé Ecuador
TX-COM-001-00967,COM-001,2023-01-15 10:12:00,Ingreso,Lácteos,46.19,CL-0031,Marta Almeida Martinez
TX-COM-001-01582,COM-001,2023-01-15 10:59:00,Egreso,Pago a Proveedor,234.57,,Tonicorp
TX-COM-001-01850,COM-001,2023-01-15 11:03:00,Egreso,Pago a Proveedor,49.44,,Helados Pingüino
TX-COM-001-01266,COM-001,2023-01-15 12:16:00,Ingreso,Limpieza,45.46,CL-0024,Rosa Lopez Martinez
TX-COM-001-01172,COM-001,2023-01-15 19:52:00,Ingreso,Bebidas,42.98,CL-0010,Camila Fernandez Chavez
TX-COM-001-00262,COM-001,2023-01-16 10:54:00,Ingreso,Limpieza,2.71,CL-0005,Camila Saltos Perez
TX-COM-001-00499,COM-001,2023-01-16 13:51:00,Ingreso,Snacks,4.13,CL-0046,Luis Fernandez Fernandez
TX-COM-001-00525,COM-001,2023-01-16 14:54:00,Ingreso,Otros,27.96,CL-0007,Diego Gomez Lopez
TX-COM-001-00913,COM-001,2023-01-16 16:17:00,Ingreso,Lácteos,44.96,CL-0043,Maria Velasco Rodriguez
TX-COM-001-01408,COM-001,2023-01-16 18:28:00,Ingreso,Lácteos,48.63,CL-0025,Mateo Rodriguez Chavez
TX-COM-001-00396,COM-001,2023-01-17 10:59:00,Egreso,Pago a Proveedor,289.21,,Cervecería Nacional (Pilsener)
TX-COM-001-01035,COM-001,2023-01-17 13:05:00,Egreso,Pago a Proveedor,281.5,,Snacks Frito Lay
TX-COM-001-01202,COM-001,2023-01-17 14:56:00,Egreso,Pago a Proveedor,146.03,,Tonicorp
TX-COM-001-00595,COM-001,2023-01-17 15:03:00,Egreso,Servicios Básicos,75.75,,Empresa Eléctrica
TX-COM-001-00454,COM-001,2023-01-17 15:16:00,Ingreso,Abarrotes,22.51,CL-0008,Rosa Rodriguez Chavez
